state,year,fires
VIC,1986,369
VIC,1987,593
VIC,1988,501
VIC,1989,228
VIC,1990,746
VIC,1991,692
VIC,1992,550
VIC,1993,456
VIC,1994,620
VIC,1995,589
VIC,1996,682
VIC,1997,561
VIC,1998,500
VIC,1999,512
VIC,2000,403
VIC,2001,444
VIC,2002,599
VIC,2003,722
VIC,2004,908
VIC,2005,804
VIC,2006,719
VIC,2007,917
VIC,2008,1011
VIC,2009,1324
VIC,2010,1282
VIC,2011,1835
VIC,2012,3807
VIC,2013,2657
VIC,2014,1894
VIC,2015,2100
VIC,2016,1620
VIC,2017,3045
VIC,2018,7517
VIC,2019,9103
VIC,2020,7787
VIC,2021,13044
VIC,2022,1824
VIC,2023,1
WA,1965,839
WA,1966,936
WA,1967,874
WA,1968,792
WA,1969,1062
WA,1970,443
WA,1971,589
WA,1972,707
WA,1973,783
WA,1974,541
WA,1975,596
WA,1976,557
WA,1977,473
WA,1978,776
WA,1979,689
WA,1980,604
WA,1981,688
WA,1982,700
WA,1983,893
WA,1984,954
WA,1985,1165
WA,1986,1290
WA,1987,2256
WA,1988,2663
WA,1989,2734
WA,1990,2265
WA,1991,2359
WA,1992,1618
WA,1993,2795
WA,1994,2362
WA,1995,3109
WA,1996,2686
WA,1997,2488
WA,1998,7880
WA,1999,3212
WA,2000,9764
WA,2001,3807
WA,2002,3944
WA,2003,3808
WA,2004,2819
WA,2005,3321
WA,2006,4079
WA,2007,3703
WA,2008,4263
WA,2009,5984
WA,2010,1612
WA,2011,1597
WA,2012,5503
WA,2013,1388
WA,2014,3037
WA,2015,4084
WA,2016,3668
WA,2017,4585
WA,2018,3356
WA,2019,3574
WA,2020,1158
WA,2021,1880
WA,2022,1588
WA,2023,459
